ID,Road,Name,District,RoadClass,Planned,Latitude,Longitude,StartTime,EndTime,MaxImpact,CurrImpact,Type,SubType,DirectionsAffected,WorkEventType,Signing
Tor-RD052025-303-5,Linden Ave,Linden Ave 134 m South of Corvette Ave to 173 m South of Corvette Ave,SCARBOROUGH,Local Road,1,43.725360,-79.259020,1763899200000,1790809200000,Low,Low,ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,BOTH_DIRECTIONS,"Toronto Water, Other",
Tor-RD012026-135-3,Hollyberry Trl,Hollyberry Trl 122 m West of Ebonywood Gt to 94 m East of Freshmeadow Dr,NORTH YORK,Local Road,1,43.811190,-79.353560,1770638400000,1782860400000,Low,Low,ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,BOTH_DIRECTIONS,Water Service,
Tor-RD52026-871-7,North Queen St,North Queen St 114 m East of Hepc to 109 m East of Hepc,ETOBICOKE,Minor Arterial Road,1,43.619130,-79.555300,1775559600000,1781305200000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD52026-759-2,Oriole Pkwy,Oriole Pkwy 3 m South of College View Ave to 3 m North of Tranmer Ave,TORONTO,Minor Arterial Road,1,43.702310,-79.405040,1776078000000,1782860400000,Low,Low,ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,BOTH_DIRECTIONS,"{tabledata"":[{""Option"":""Transportation Services""""",
Tor-RD52026-759-1,Oriole Pkwy,Oriole Pkwy at Anderson Ave to 11 m North of College View Ave,TORONTO,Minor Arterial Road,1,43.703240,-79.405390,1776078000000,1782860400000,Low,Low,ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,BOTH_DIRECTIONS,"{tabledata"":[{""Option"":""Transportation Services""""",
Tor-RD52026-90-1,Lorraine Gdns,Lorraine Gdns 214 m East of Appleby Rd to 11 m East of Martin Grove Rd,ETOBICOKE,Local Road,1,43.651620,-79.546080,1774436400000,1790375400000,Low,Low,ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,BOTH_DIRECTIONS,"{tabledata"":[{""Option"":""Transportation Services""""",
Tor-RD52026-90-2,Appleby Crt,Appleby Crt at end of road to 9 m North of Lorraine Gdns,ETOBICOKE,Local Road,1,43.654450,-79.550090,1774436400000,1790375400000,Low,Low,ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,BOTH_DIRECTIONS,"{tabledata"":[{""Option"":""Transportation Services""""",
Tor-RD1H2026-595-3,Burrows Hall Blvd,Burrows Hall Blvd 13 m West of Tinbury Pl to 24 m East of Lapsley Rd,SCARBOROUGH,Local Road,1,43.794790,-79.225470,1775127600000,1781823600000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD1H2026-595-4,Lapsley Rd,Lapsley Rd 92 m Southeast of Sheppard Ave E to 96 m Northwest of Burrows Hall Blvd,SCARBOROUGH,Local Road,1,43.795450,-79.226940,1775127600000,1781823600000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD1H2026-595-5,Lapsley Rd,Lapsley Rd 39 m Northwest of Burrows Hall Blvd to 20 m North of Burrows Hall Blvd,SCARBOROUGH,Local Road,1,43.794970,-79.226180,1775127600000,1781823600000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
